date,caller,verdict,lane,business,town,phone,google_reviews,site_status,channel,ring_test,ever_had_a_site,discovery_answer,price_said,outcome,notes
,,VERIFIED,0-WARM,Client #1 (trainer),LA,via Daniel,,n/a,call,,,,,,paid $400 / $0 MRR. testimonial + before/after + referrals + care plan all unasked
,,VERIFIED,0-WARM,O'Connell Cuts (Ryan),"Newbury Park, CA",(805) 559-5592,,weak site a client built,call,,,,,,"said interested 7 Jul 2026, marked FOLLOW UP, never called back. also wants merch"
,,VERIFIED,0-WARM,Carmen's Barber Shop #2 (Graberial),"Santa Clarita, CA",(661) 298-9933,,unknown,text,,,,,,"'maybe down the line'. low ticket - one text, no more"
,,VERIFIED,A-SFV,American Eagle Tree Service,"Sylmar, CA",(818) 457-0891,VERIFY (44 yelp/76 birdeye),FREE WIX SUBDOMAIN jesusamericaneagle.wixsite.com,call,,,,,,"best cold lead found. two wix pages, one abandoned"
,,VERIFIED,A-SFV,Oscar Tree Service,"Santa Clarita, CA",(661) 670-1434,VERIFY (16 yelp),none found on any search,call,,,,,,only yelp + a chamber listing
,,FAILED-HAS-SITE,X-DROP,Frank's Iron Work,LA area,,,franksironwork.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Universal Iron Works,LA area,,,universaliron.net + universaliron-works.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,G&P Iron Works,LA area,,,gpironworksllc.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,DC Iron & Metal Designs,LA area,,,losangelescustomgates.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Signature Iron Works,LA area,,,signatureironworksinc.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Royal Tree Service,LA area,,,royaltrees.net,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,TSL Tree Service,LA area,,,tsltreeservice.com + tsltreeservicescv.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,JLG Landscaping & Tree,LA area,,,"jlgtrees.com, 93 rev",,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Best Valley Tree Services,LA area,,,bestvalleytrees.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Alfha Fence,LA area,,,alfhafenceco.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Al Ruiz Concrete,LA area,,,alruizconcrete.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Messineo Masonry,LA area,,,messineomasonry.com,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Exotic Iron Works,LA area,,,115 yelp rev - fails saturation test,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,FAILED-HAS-SITE,X-DROP,Electric Gate Installation LA,LA area,,,could not confirm as a distinct business,,,,,,,"found by web search, which only returns businesses that HAVE sites. do not call."
,,UNVERIFIED,A-SFV,Dan Scully's Tree Services,"La Crescenta, CA",walk in,CHECK GOOGLE,CHECK - open the site,call,,,,,,verify before dialing
,,UNVERIFIED,A-SFV,Ray's Tree & Brush Clearance,"Los Angeles, CA",(323) 762-9324,CHECK GOOGLE,CHECK - open the site,call,,,,,,verify before dialing
,,UNVERIFIED,A-SFV,Brian Walsh Brush Clearance,"Los Angeles, CA",(323) 662-9062,CHECK GOOGLE,CHECK - open the site,call,,,,,,verify before dialing
