date,caller,tier,business,phone,town,tz,vertical,reviews,note,google_website_button,ring_test,ever_had_site,discovery_answer,price_said,outcome,next_date
,,1-WARM,Client #1 (trainer),via Daniel,"Los Angeles, CA",PT,personal_training,paid $400 / $0 MRR,testimonial + before/after + 2 referrals + attach the $99,,,,,,,
,,1-WARM,O'Connell Cuts - Ryan,(805) 559-5592,"Newbury Park, CA",PT,barbershop,said interested 7 Jul 2026,"marked FOLLOW UP, never called back. warmest thing you own.",,,,,,,
,,1-WARM,Carmen's Barber Shop #2 - Graberial,(661) 298-9933,"Santa Clarita, CA",PT,barbershop,'maybe down the line',"one text only, low ticket",,,,,,,
,,2-NO-SITE,Oscar Tree Service,(661) 670-1434,"Santa Clarita, CA",PT,tree_service,16 yelp,DRIVABLE - walk in with a mockup,,,,,,,
,,2-NO-SITE,Oklahoma Stump Grinding,(918) 734-6747,"Tulsa, OK",CT,tree_service,verify,"8618 E 46th St, certified arborist",,,,,,,
,,2-NO-SITE,ArborGold Tree Care,(574) 933-3617,"Rochester, IN",ET,tree_service,40 birdeye,IG + FB only. arborgoldtreecare@gmail.com,,,,,,,
,,2-NO-SITE,Farley Tree Service,(931) 520-0114,"Cookeville, TN",CT,tree_service,20 birdeye,"4623 Shipley Rd, 20 years",,,,,,,
,,2-NO-SITE,Weaver's Tree Care,(573) 837-3934,"Cape Girardeau, MO",CT,tree_service,16 birdeye,1952 Eden Cir. Swoop_jr@yahoo.com,,,,,,,
,,2-NO-SITE,Kelich Tree Service,(765) 416-2542,"Elwood, IN",ET,tree_service,9 birdeye,Jay Kelich. 2035 N A St. below band.,,,,,,,
,,2-NO-SITE,Expert Tree Care LLC,(317) 935-3367,"Brownsburg, IN",ET,tree_service,7 birdeye,Terry Dickison. below band - ask job volume first,,,,,,,
,,2-NO-SITE,Muolo's Tree Service,(315) 532-5534,"Central Square, NY",ET,tree_service,verify,"takedowns, lot clearing, stump grinding",,,,,,,
,,2-NO-SITE,Upstate Stump Grinding,(518) 929-2684,"Climax, NY",ET,tree_service,verify,Nick. Greene + Albany counties. FB only.,,,,,,,
,,2-NO-SITE,Upstate New York Tree Service,(315) 254-5066,"Penn Yan, NY",ET,tree_service,6 yelp,1799 W Lake Rd. 59 YEARS in business.,,,,,,,
,,2-NO-SITE,Hall's Septic Tank Service,(229) 251-4434,"Hahira, GA",ET,septic,verify,7909 Morven Rd. alt (229) 794-3359,,,,,,,
,,2-NO-SITE,W B Ray Septic Cleaning,(903) 559-2462,"Texarkana, TX",CT,septic,verify,open 24 hrs,,,,,,,
,,2-NO-SITE,I&G Septic Tank Cleaning,(706) 229-2347,"Dalton, GA",ET,septic,verify,Ignacio Guijon. alt (762) 209-9058,,,,,,,
,,2-NO-SITE,American Outback Septic,(410) 546-1666,"Pittsville, MD",ET,septic,22 birdeye,34265 Tingle Rd. 24/7.,,,,,,,
,,2-NO-SITE,Delaware Septic Service,(765) 358-4702,"Gaston, IN",ET,septic,verify,since 1999. 10885 N County Rd 600 W,,,,,,,
,,2-NO-SITE,Tison's Plumbing & Drain,(229) 877-3494,"Valdosta, GA",ET,septic,verify,Dillan Tison. 432 E Park Ave.,,,,,,,
,,2-NO-SITE,Johnson's Septic Tank Service,(606) 561-6541,"Burnside, KY",ET,septic,verify,412 William Helton Rd,,,,,,,
,,2-NO-SITE,David Wallace Septic & Sewer,(270) 442-0636,"Paducah, KY",CT,septic,verify,1533 Jefferson St,,,,,,,
,,2-NO-SITE,Beddows Septic Service,(304) 258-1527,"Berkeley Springs, WV",ET,septic,verify,FOUNDED 1954. family owned 59+ yrs. mayers593@aol.com,,,,,,,
,,2-NO-SITE,Rick's Septic Tank & Pumping,(270) 793-9866,"Alvaton, KY",CT,septic,verify,313 OJ Edmonds Rd. alt (270) 791-4099,,,,,,,
,,2-NO-SITE,M & W Septic Tank Pumping,(304) 788-0598,"Keyser, WV",ET,septic,verify,59 Hollywood Rd,,,,,,,
,,2-NO-SITE,Dick's Septic Tank Service,(574) 542-4024,"Rochester, IN",ET,septic,verify,30+ yrs. alt (574) 223-7953,,,,,,,
,,2-NO-SITE,AAA Septic Tank Cleaning,(256) 234-7189,"Alexander City, AL",CT,septic,verify,grease traps + septic,,,,,,,
,,2-NO-SITE,A A A Septic Tank Service,(618) 749-5057,"Carlyle, IL",CT,septic,verify,unclaimed yelp listing,,,,,,,
,,2-NO-SITE,Cardin Septic Tank Service,(765) 832-1887,"Clinton, IN",ET,septic,verify,"est 1960. only a localsearch.com microsite, not a real site.",,,,,,,
,,2-NO-SITE,Heavenly Gates Fence Co,(910) 220-5965,"Troy, NC",ET,fencing_gates,verify,A YELP LISTING SAYS CLOSED. confirm still trading. alt (910) 572-5315,,,,,,,
,,2-NO-SITE,Collins Septic Service,(606) 633-8627,"Isom, KY",ET,septic,4 FB,DUPLICATE LISTING MARKED CLOSED - give the fix away free,,,,,,,
,,2-NO-SITE,B.L. Phippin & Son,(410) 430-3897,"Salisbury, MD",ET,septic,verify,THREE live phone numbers + one listing CLOSED. 40+ yrs.,,,,,,,
,,2-NO-SITE,Distel's Septic Service,(419) 448-0250,"Tiffin, OH",ET,septic,verify,TWO yelp listings at different addresses,,,,,,,
,,3-BAD-SITE,American Eagle Tree Service,(818) 457-0891,"Sylmar, CA",PT,tree_service,44 yelp,FREE WIX + a 2nd abandoned wix page. DRIVABLE.,,,,,,,
,,3-BAD-SITE,Tennessee Roots LLC,(731) 333-3232,"Paris, TN",CT,tree_service,43 FB 100% rec,FREE WIX tnrootsllc.wixsite.com,,,,,,,
,,3-BAD-SITE,845TreePro LLC,(845) 584-5319,"Mountain Dale, NY",ET,tree_service,verify,"FREE WIX, default URL /website-1",,,,,,,
,,3-BAD-SITE,Southern Exteriors Tree Service,(501) 230-3534,"Searcy, AR",CT,tree_service,10 porch,FREE WIX. Steve + Heath Miller.,,,,,,,
,,3-BAD-SITE,A1 Septic Solution,(360) 739-0570,"Blaine, WA",PT,septic,verify,FREE WIX AND THE URL IS MISSPELLED (solutoin). Swendt family.,,,,,,,
,,3-BAD-SITE,Blanks Septic LLC,(770) 969-7983,"Palmetto, GA",ET,septic,verify,"FREE WIX. 50yr family, Donnie founded, son Josh runs it.",,,,,,,
,,3-BAD-SITE,A&W Septic Service,(908) 689-4114,"Stewartsville, NJ",ET,septic,6 recs,"FREE WIX, URL still ends in /website",,,,,,,
,,3-BAD-SITE,Kenai Peninsula Fencing,(907) 741-7101,"Soldotna, AK",AKT,fencing_gates,13 FB 100% rec,FREE GODADDY. Hunter Williams. moose-proof fences.,,,,,,,

# 40 LEADS. Verified Sep 2026 across Google, Yelp, Facebook, Nextdoor, BBB, Angi,
# Birdeye, YellowPages, Manta, D&B, septic.com, chamber listings, and each
# business's own domain.
#
# tier  1-WARM      3. call these first, today.
#       2-NO-SITE   29. no custom domain found ANYWHERE. this is the list.
#       3-BAD-SITE  8. they have a site but it's a free wixsite/godaddysites
#                   subdomain. TECHNICALLY they have a website. Different opener -
#                   "Wix put their name on your front door." Work them or skip
#                   them, your call.
#
# BEFORE YOU DIAL: open Google Maps, look for the Website button, fill in
# google_website_button with NONE / FREE / REAL. If REAL, skip the row - the
# research environment cannot reach Google Business Profile, so that field is the
# one thing you have to confirm yourself. Ten seconds.
#
# tz  PT / CT / ET / AKT. Trades answer 6:30-8am and 4-6pm LOCAL.
#     Sorted so you can work Pacific to Eastern in one sitting.
# reviews  where it says "verify", check the GOOGLE count. Yelp and Google differ
#          badly. The 10-49 band is a GOOGLE band.
# price_said  Y/N. All-time count as of 21 Sep 2026: 1.
#
# Refill: restore the Google Places API key. websiteUri IS the GBP website field.
# Web search cannot find businesses without websites - nothing to index.
